clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
3,1668,0,0,0,1,0,0,0,0,1,0,0,0,-0.5176905017179336,0.38017143900219036,-0.6508494212395314,-0.38973390348695836,-0.4387609962732717,-0.3695014588713509
3,825,0,0,1,0,0,0,0,0,1,0,0,0,-0.8329180889436509,-0.6152181452045055,0.24740221389193032,-0.8630972929576278,-0.8433311247870292,-0.9029570116359569
5,2271,0,0,1,0,0,0,1,0,0,0,0,0,-0.5597208466813627,0.8067669750907757,-1.549101056370993,-0.47904775055689564,-0.519675021976023,-0.4127546117982106
4,6499,0,0,0,1,0,0,0,0,1,0,0,0,0.44900743244093244,0.5934692070464855,0.6965280314576612,0.5837870295753613,0.6580735743640257,0.6974096466578616
1,1123,0,0,0,0,1,1,0,0,0,0,0,0,-0.6227663641265061,-2.0372032654997865,1.145653849023392,-0.4701163658499021,-0.4477514435735772,-0.6722735293593707
3,857,0,0,1,0,0,1,0,0,0,0,0,0,-1.0430698137607959,-0.6152181452045055,-0.20172360367380052,-1.2382154506513656,-1.2299203587001748,-1.2778176703354103
2,3927,0,0,0,0,1,0,0,0,0,0,1,0,0.47002260492264697,-0.9707144252783257,0.24740221389193032,0.7088264154732737,0.7479780473670825,0.5964856231618559
3,1656,0,0,1,0,0,0,1,0,0,0,0,0,-0.6017511916447916,-0.18862260911592008,-0.20172360367380052,-0.5683615976268337,-0.5466463638769404,-0.5713495058633636
1,2657,0,0,1,0,0,0,0,0,0,0,0,1,0.42799225995921797,-0.40192037716021023,-0.6508494212395314,0.682032261352293,0.5861499959615798,0.5820679055195689
2,1677,0,0,1,0,0,1,0,0,0,0,0,0,-0.49667532923621915,0.09577441494313513,-1.0999752388052622,-0.38973390348695836,-0.3758278651711322,-0.3695014588713509
6,897,0,0,0,0,1,0,0,1,0,0,0,0,-1.0220546412790812,0.024675158928370067,0.6965280314576612,-1.2471468353583592,-1.2389108060004812,-1.23456451740855
2,2821,0,0,0,1,0,1,0,0,0,0,0,0,-0.1394173970470731,-0.04642409708638995,-1.0999752388052622,0.10149225539769831,0.08268494714446,0.09186550568182265
2,4588,0,0,0,0,1,0,0,0,1,0,0,0,0.44900743244093244,0.8067669750907757,1.5947796665891227,0.5659242601613742,0.6041308905621917,0.6829919290155753
3,583,0,0,0,0,1,0,0,0,0,1,0,0,-0.9169787788705089,-0.5441188891897404,-1.0999752388052622,-0.9881366788555402,-0.9602069396910033,-1.0182987527742502
4,1153,0,0,0,1,0,0,1,0,0,0,0,0,-0.8119029164619365,-0.7574166572340305,0.24740221389193032,-0.8005776000086713,-0.8433311247870292,-0.8885392939936705
3,802,0,0,1,0,0,0,0,1,0,0,0,0,-1.0220546412790812,0.38017143900219036,-1.0999752388052622,-1.2471468353583592,-1.2838630425020094,-1.2201467997662636
1,7773,0,0,0,0,1,0,0,0,1,0,0,0,1.4577357115632275,0.5223699510317205,0.24740221389193032,1.31616057554885,1.377309358388483,1.4182955287721948
2,1546,0,0,1,0,0,0,1,0,0,0,0,0,-0.6017511916447916,0.7356677190760106,-0.6508494212395314,-0.5147732893848707,-0.5915986003784689,-0.4704254823673573
3,11508,0,1,0,0,0,0,0,0,1,0,0,0,1.4787508840449421,-2.1083025215145517,2.9421571192863154,1.521582423809706,1.5031756205927636,1.1876120464956093
3,7074,0,0,1,0,0,0,0,0,1,0,0,0,0.7642350196666495,0.38017143900219036,-0.20172360367380052,0.8338658013711869,0.8918252041719741,0.9136754112921621
6,9075,0,0,1,0,0,0,0,0,1,0,0,0,0.7642350196666495,-0.8996151692635607,-0.20172360367380052,0.9410424178551121,0.9907201244753373,0.8415868230807291
3,487,0,0,1,0,0,1,0,0,0,0,0,0,-1.0851001587242246,0.45127069501695544,-0.20172360367380052,-1.3989803753772532,-1.3737675155050664,-1.3354885409045572
4,7758,0,0,1,0,0,0,0,0,1,0,0,0,0.6591591572580775,0.5934692070464855,-0.20172360367380052,0.8160030319571989,0.7749493892679999,0.8704222583653017
2,2396,0,0,0,0,1,0,0,0,0,1,0,0,-0.0763718796019296,0.5934692070464855,0.24740221389193032,0.03004117774174816,0.10066584174507105,0.13511865860868236
3,2633,0,0,1,0,0,0,1,0,0,0,0,0,-0.2024629144922166,0.23797292697266526,-0.20172360367380052,-0.041409899914201985,0.0017709214417086642,0.005359199828102614
1,374,0,1,0,0,0,0,0,0,0,0,1,0,-1.0010394687973667,0.9489654871203058,0.24740221389193032,-1.2382154506513656,-1.1849681221986463,-1.1192227762702573
4,698,0,0,0,1,0,0,0,0,0,1,0,0,-1.0220546412790812,-0.2597218651306851,-0.6508494212395314,-1.193558527116397,-1.2209299113998693,-1.2201467997662636
1,3131,0,0,1,0,0,0,1,0,0,0,0,0,0.04971915528835718,0.5934692070464855,-1.0999752388052622,0.19080610246763638,0.2265321039493516,0.2792958350315491
2,4932,0,0,0,1,0,0,0,0,0,1,0,0,0.49103777740436144,0.30907218298743033,1.145653849023392,0.62844395311033,0.6041308905621917,0.6541564937310026
3,595,0,1,0,0,0,0,0,0,0,0,1,0,-0.8959636063887944,1.5888587912531813,-0.6508494212395314,-1.0238622176835153,-1.1490063329974234,-0.9317924469205302
3,4978,0,0,0,0,1,0,0,0,0,1,0,0,0.42799225995921797,-0.7574166572340305,1.145653849023392,0.7356205695942553,0.685044916264943,0.6109033408041422
4,3001,0,0,0,1,0,1,0,0,0,0,0,0,-0.2024629144922166,-0.11752335310115501,1.5947796665891227,-0.05927266932818912,-0.10611444616196004,-0.09556482366790378
3,579,0,0,0,0,1,0,0,0,1,0,0,0,-0.9800242963156522,-0.8285159132487956,1.5947796665891227,-1.1310388341674404,-1.1130445437962004,-1.1913113644816904
2,675,0,0,0,0,1,0,1,0,0,0,0,0,-1.0430698137607959,1.162263255164596,-0.6508494212395314,-1.3185979130143095,-1.346796173604149,-1.2201467997662636
5,505,0,0,0,0,1,0,0,1,0,0,0,0,-1.1901760211327972,-0.40192037716021023,-1.0999752388052622,-1.5686766848101346,-1.5445860142108754,-1.5805897408234302
5,3307,0,0,1,0,0,0,0,0,1,0,0,0,-0.1814477420105021,-0.04642409708638995,-0.20172360367380052,-0.005684361086226911,0.01076136874201419,-0.00905851781418438
1,5712,0,0,1,0,0,0,0,0,0,1,0,0,0.8482957095935075,-0.5441188891897404,-0.20172360367380052,1.0482190343390374,0.9997105717756428,0.9425108465767361
1,593,0,0,0,1,0,1,0,0,0,0,0,0,-1.0220546412790812,0.8067669750907757,0.6965280314576612,-1.2650096047723471,-1.3018439371026205,-1.2057290821239768
1,2880,0,0,0,0,1,0,0,0,0,0,0,1,0.2598708801055022,-2.1794017775293115,1.5947796665891227,0.5480614907473863,0.6311022324631083,0.3081312703161224
4,2131,0,0,1,0,0,0,0,0,1,0,0,0,-0.4126146393093614,-0.11752335310115501,-0.6508494212395314,-0.2557631328820516,-0.2319807083662406,-0.2541597177330575
3,658,0,0,1,0,0,0,1,0,0,0,0,0,-1.0430698137607959,0.38017143900219036,-0.20172360367380052,-1.2828723741863344,-1.2658821479013977,-1.23456451740855
3,3875,1,0,0,0,0,0,1,0,0,0,0,0,0.2178405351420732,2.442049863430352,1.5947796665891227,0.25332579541659217,0.2265321039493516,0.5388147525927092
3,758,0,0,1,0,0,1,0,0,0,0,0,0,-1.0010394687973667,0.6645684630612506,-0.20172360367380052,-1.1846271424094026,-1.157996780297729,-1.1048050586279703
3,13667,0,0,0,1,0,0,0,0,0,0,0,1,2.6345853705392384,0.38017143900219036,1.145653849023392,2.1646421227132575,2.1235164843138574,2.1968522814556746
5,878,0,0,1,0,0,0,0,0,1,0,0,0,-1.0430698137607959,0.6645684630612506,-0.20172360367380052,-1.2828723741863344,-1.3198248317032324,-1.23456451740855
1,17049,0,0,1,0,0,0,0,1,0,0,0,0,2.6135701980575243,0.45127069501695544,-0.6508494212395314,2.0931910450573072,2.1684687208153868,2.1968522814556746
6,3872,0,0,0,0,1,0,0,0,0,0,1,0,0.2178405351420732,1.162263255164596,-0.20172360367380052,0.3247768730725423,0.35239836615363135,0.4811438820235625
4,1007,0,0,0,1,0,0,0,1,0,0,0,0,-0.8119029164619365,0.45127069501695544,1.145653849023392,-0.9077542164925965,-0.861312019387641,-0.8308684234245238
